% time spent exploring,episodes,mean 100 episode reward,steps
97,10,-200.0,1799
95,20,-200.0,3799
93,30,-200.0,5799
91,40,-200.0,7799
88,50,-200.0,9799
86,60,-200.0,11799
84,70,-200.0,13799
82,80,-200.0,15799
79,90,-200.0,17799
77,100,-200.0,19799
75,110,-200.0,21799
73,120,-200.0,23799
70,130,-200.0,25799
68,140,-200.0,27799
66,150,-200.0,29799
63,160,-200.0,31799
61,170,-200.0,33799
59,180,-200.0,35799
57,190,-200.0,37799
55,200,-200.0,39799
52,210,-200.0,41799
50,220,-200.0,43799
48,230,-200.0,45799
46,240,-200.0,47799
43,250,-200.0,49799
41,260,-200.0,51799
39,270,-200.0,53799
37,280,-200.0,55799
34,290,-200.0,57799
32,300,-200.0,59799
30,310,-200.0,61799
27,320,-200.0,63799
25,330,-200.0,65799
23,340,-200.0,67799
21,350,-200.0,69799
18,360,-200.0,71799
16,370,-200.0,73799
14,380,-200.0,75799
12,390,-200.0,77799
9,400,-199.1,79708
9,410,-199.1,81708
9,420,-198.3,83629
9,430,-197.4,85534
9,440,-197.4,87534
9,450,-197.4,89534
9,460,-196.9,91487
9,470,-196.3,93430
9,480,-195.3,95331
9,490,-195.3,97330
9,500,-194.2,99124
9,510,-192.1,100920
9,520,-192.1,102835
9,530,-192.1,104747
9,540,-190.9,106628
9,550,-190.1,108546
9,560,-190.2,110511
9,570,-189.0,112333
9,580,-189.7,114298
9,590,-189.7,116298
9,600,-190.5,118171
9,610,-190.5,119974
9,620,-189.1,121744
9,630,-186.6,123402
9,640,-186.7,125301
9,650,-186.6,127211
9,660,-186.5,129161
9,670,-186.4,130978
9,680,-186.1,132908
9,690,-185.1,134811
9,700,-185.2,136691
9,710,-185.1,138484
9,720,-186.0,140346
9,730,-187.8,142186
9,740,-187.7,144070
9,750,-187.6,145976
9,760,-187.5,147911
9,770,-188.3,149808
