% time spent exploring,episodes,mean 100 episode reward,steps
93,10,20.8,186
86,20,19.5,370
80,30,18.1,525
73,40,18.1,706
67,50,18.0,883
60,60,17.2,1014
54,70,16.8,1158
47,80,16.9,1333
41,90,19.9,1769
34,100,21.4,2117
28,110,25.3,2717
21,120,29.2,3292
15,130,34.1,3937
8,140,37.0,4410
2,150,39.2,4798
2,160,40.7,5086
2,170,41.6,5317
2,180,42.3,5563
2,190,40.3,5796
2,200,39.3,6050
2,210,35.9,6310
2,220,32.8,6571
2,230,29.4,6872
2,240,27.6,7172
2,250,26.5,7450
2,260,26.3,7714
2,270,26.7,7989
2,280,27.0,8260
2,290,27.2,8521
2,300,27.2,8769
2,310,27.2,9026
2,320,27.3,9298
2,330,27.0,9570
2,340,26.7,9843
2,350,26.6,10109
2,360,26.6,10372
2,370,26.6,10648
2,380,26.8,10941
2,390,27.1,11230
2,400,28.5,11615
2,410,30.1,12032
2,420,32.0,12495
2,430,33.5,12916
2,440,34.8,13322
2,450,38.1,13915
2,460,42.9,14661
