# Exploration %,Episodes,Rewards,Timestep
9.346666666666666856e+01,1.000000000000000000e+01,2.260000000000000142e+01,2.320000000000000000e+02
8.693333333333332291e+01,2.000000000000000000e+01,2.100000000000000000e+01,4.150000000000000000e+02
8.040000000000000568e+01,3.000000000000000000e+01,1.960000000000000142e+01,5.790000000000000000e+02
7.386666666666667425e+01,4.000000000000000000e+01,2.039999999999999858e+01,8.260000000000000000e+02
6.733333333333332860e+01,5.000000000000000000e+01,2.230000000000000071e+01,1.114000000000000000e+03
6.079999999999999716e+01,6.000000000000000000e+01,2.489999999999999858e+01,1.502000000000000000e+03
5.426666666666666572e+01,7.000000000000000000e+01,3.239999999999999858e+01,2.325000000000000000e+03
4.773333333333334139e+01,8.000000000000000000e+01,3.720000000000000284e+01,3.019000000000000000e+03
4.120000000000000284e+01,9.000000000000000000e+01,4.089999999999999858e+01,3.705000000000000000e+03
3.466666666666667140e+01,1.000000000000000000e+02,4.200000000000000000e+01,4.247000000000000000e+03
2.813333333333334352e+01,1.100000000000000000e+02,4.620000000000000284e+01,4.890000000000000000e+03
