# Exploration %,Episodes,Rewards,Timestep
9.346666666666666856e+01,1.000000000000000000e+01,2.239999999999999858e+01,2.150000000000000000e+02
8.693333333333332291e+01,2.000000000000000000e+01,2.039999999999999858e+01,3.970000000000000000e+02
8.040000000000000568e+01,3.000000000000000000e+01,2.039999999999999858e+01,6.180000000000000000e+02
7.386666666666667425e+01,4.000000000000000000e+01,2.030000000000000071e+01,8.220000000000000000e+02
6.733333333333332860e+01,5.000000000000000000e+01,2.550000000000000000e+01,1.265000000000000000e+03
6.079999999999999716e+01,6.000000000000000000e+01,2.850000000000000000e+01,1.701000000000000000e+03
5.426666666666666572e+01,7.000000000000000000e+01,2.789999999999999858e+01,1.949000000000000000e+03
4.773333333333334139e+01,8.000000000000000000e+01,2.810000000000000142e+01,2.249000000000000000e+03
4.120000000000000284e+01,9.000000000000000000e+01,3.279999999999999716e+01,3.018000000000000000e+03
3.466666666666667140e+01,1.000000000000000000e+02,3.460000000000000142e+01,3.445000000000000000e+03
2.813333333333334352e+01,1.100000000000000000e+02,3.729999999999999716e+01,4.028000000000000000e+03
2.159999999999999787e+01,1.200000000000000000e+02,4.370000000000000284e+01,4.819000000000000000e+03
1.506666666666666110e+01,1.300000000000000000e+02,4.729999999999999716e+01,5.384000000000000000e+03
8.533333333333336768e+00,1.400000000000000000e+02,5.089999999999999858e+01,5.922000000000000000e+03
2.000000000000001776e+00,1.500000000000000000e+02,5.389999999999999858e+01,6.711000000000000000e+03
2.000000000000001776e+00,1.600000000000000000e+02,5.650000000000000000e+01,7.425000000000000000e+03
2.000000000000001776e+00,1.700000000000000000e+02,6.229999999999999716e+01,8.235000000000000000e+03
2.000000000000001776e+00,1.800000000000000000e+02,6.900000000000000000e+01,9.204000000000000000e+03
2.000000000000001776e+00,1.900000000000000000e+02,7.070000000000000284e+01,1.008500000000000000e+04
2.000000000000001776e+00,2.000000000000000000e+02,7.559999999999999432e+01,1.108500000000000000e+04
2.000000000000001776e+00,2.100000000000000000e+02,8.040000000000000568e+01,1.206400000000000000e+04
2.000000000000001776e+00,2.200000000000000000e+02,8.100000000000000000e+01,1.294700000000000000e+04
2.000000000000001776e+00,2.300000000000000000e+02,8.520000000000000284e+01,1.394200000000000000e+04
2.000000000000001776e+00,2.400000000000000000e+02,8.959999999999999432e+01,1.493000000000000000e+04
2.000000000000001776e+00,2.500000000000000000e+02,8.779999999999999716e+01,1.552800000000000000e+04
2.000000000000001776e+00,2.600000000000000000e+02,9.059999999999999432e+01,1.648100000000000000e+04
2.000000000000001776e+00,2.700000000000000000e+02,9.229999999999999716e+01,1.748100000000000000e+04
2.000000000000001776e+00,2.800000000000000000e+02,9.259999999999999432e+01,1.848100000000000000e+04
2.000000000000001776e+00,2.900000000000000000e+02,9.400000000000000000e+01,1.948100000000000000e+04
