# Exploration %,Episodes,Rewards,Timestep
9.346666666666666856e+01,1.000000000000000000e+01,1.880000000000000071e+01,1.820000000000000000e+02
8.693333333333332291e+01,2.000000000000000000e+01,2.019999999999999929e+01,3.970000000000000000e+02
8.040000000000000568e+01,3.000000000000000000e+01,2.719999999999999929e+01,8.040000000000000000e+02
7.386666666666667425e+01,4.000000000000000000e+01,2.930000000000000071e+01,1.205000000000000000e+03
6.733333333333332860e+01,5.000000000000000000e+01,3.260000000000000142e+01,1.611000000000000000e+03
6.079999999999999716e+01,6.000000000000000000e+01,3.410000000000000142e+01,2.113000000000000000e+03
5.426666666666666572e+01,7.000000000000000000e+01,3.929999999999999716e+01,2.811000000000000000e+03
4.773333333333334139e+01,8.000000000000000000e+01,4.410000000000000142e+01,3.584000000000000000e+03
4.120000000000000284e+01,9.000000000000000000e+01,4.500000000000000000e+01,4.104000000000000000e+03
3.466666666666667140e+01,1.000000000000000000e+02,5.029999999999999716e+01,5.079000000000000000e+03
2.813333333333334352e+01,1.100000000000000000e+02,5.770000000000000284e+01,6.042000000000000000e+03
2.159999999999999787e+01,1.200000000000000000e+02,6.559999999999999432e+01,7.042000000000000000e+03
1.506666666666666110e+01,1.300000000000000000e+02,7.150000000000000000e+01,8.042000000000000000e+03
8.533333333333336768e+00,1.400000000000000000e+02,7.800000000000000000e+01,9.042000000000000000e+03
