# Exploration %,Episodes,Rewards,Timestep
9.346666666666666856e+01,1.000000000000000000e+01,2.039999999999999858e+01,2.370000000000000000e+02
8.693333333333332291e+01,2.000000000000000000e+01,2.180000000000000071e+01,4.250000000000000000e+02
8.040000000000000568e+01,3.000000000000000000e+01,2.330000000000000071e+01,7.210000000000000000e+02
7.386666666666667425e+01,4.000000000000000000e+01,2.789999999999999858e+01,1.110000000000000000e+03
6.733333333333332860e+01,5.000000000000000000e+01,3.060000000000000142e+01,1.595000000000000000e+03
6.079999999999999716e+01,6.000000000000000000e+01,3.610000000000000142e+01,2.227000000000000000e+03
5.426666666666666572e+01,7.000000000000000000e+01,4.210000000000000142e+01,2.940000000000000000e+03
4.773333333333334139e+01,8.000000000000000000e+01,4.610000000000000142e+01,3.718000000000000000e+03
4.120000000000000284e+01,9.000000000000000000e+01,5.020000000000000284e+01,4.564000000000000000e+03
3.466666666666667140e+01,1.000000000000000000e+02,5.329999999999999716e+01,5.377000000000000000e+03
2.813333333333334352e+01,1.100000000000000000e+02,5.889999999999999858e+01,6.172000000000000000e+03
2.159999999999999787e+01,1.200000000000000000e+02,6.590000000000000568e+01,7.100000000000000000e+03
1.506666666666666110e+01,1.300000000000000000e+02,7.320000000000000284e+01,8.100000000000000000e+03
8.533333333333336768e+00,1.400000000000000000e+02,7.909999999999999432e+01,9.100000000000000000e+03
2.000000000000001776e+00,1.500000000000000000e+02,8.500000000000000000e+01,1.010000000000000000e+04
2.000000000000001776e+00,1.600000000000000000e+02,8.870000000000000284e+01,1.110000000000000000e+04
2.000000000000001776e+00,1.700000000000000000e+02,9.090000000000000568e+01,1.210000000000000000e+04
2.000000000000001776e+00,1.800000000000000000e+02,8.740000000000000568e+01,1.239200000000000000e+04
2.000000000000001776e+00,1.900000000000000000e+02,8.829999999999999716e+01,1.339200000000000000e+04
2.000000000000001776e+00,2.000000000000000000e+02,9.020000000000000284e+01,1.439200000000000000e+04
2.000000000000001776e+00,2.100000000000000000e+02,9.220000000000000284e+01,1.539200000000000000e+04
2.000000000000001776e+00,2.200000000000000000e+02,9.290000000000000568e+01,1.639200000000000000e+04
2.000000000000001776e+00,2.300000000000000000e+02,9.290000000000000568e+01,1.739200000000000000e+04
2.000000000000001776e+00,2.400000000000000000e+02,9.290000000000000568e+01,1.839200000000000000e+04
2.000000000000001776e+00,2.500000000000000000e+02,9.290000000000000568e+01,1.939200000000000000e+04
