# Exploration %,Episodes,Rewards,Timestep
9.346666666666666856e+01,1.000000000000000000e+01,1.880000000000000071e+01,1.890000000000000000e+02
8.693333333333332291e+01,2.000000000000000000e+01,2.130000000000000071e+01,4.340000000000000000e+02
8.040000000000000568e+01,3.000000000000000000e+01,2.089999999999999858e+01,6.210000000000000000e+02
7.386666666666667425e+01,4.000000000000000000e+01,2.039999999999999858e+01,8.200000000000000000e+02
6.733333333333332860e+01,5.000000000000000000e+01,2.300000000000000000e+01,1.162000000000000000e+03
6.079999999999999716e+01,6.000000000000000000e+01,2.510000000000000142e+01,1.530000000000000000e+03
5.426666666666666572e+01,7.000000000000000000e+01,2.839999999999999858e+01,1.974000000000000000e+03
4.773333333333334139e+01,8.000000000000000000e+01,2.800000000000000000e+01,2.254000000000000000e+03
4.120000000000000284e+01,9.000000000000000000e+01,2.919999999999999929e+01,2.641000000000000000e+03
3.466666666666667140e+01,1.000000000000000000e+02,3.210000000000000142e+01,3.274000000000000000e+03
2.813333333333334352e+01,1.100000000000000000e+02,3.910000000000000142e+01,4.171000000000000000e+03
2.159999999999999787e+01,1.200000000000000000e+02,4.620000000000000284e+01,5.120000000000000000e+03
1.506666666666666110e+01,1.300000000000000000e+02,5.220000000000000284e+01,5.922000000000000000e+03
8.533333333333336768e+00,1.400000000000000000e+02,6.029999999999999716e+01,6.922000000000000000e+03
2.000000000000001776e+00,1.500000000000000000e+02,6.700000000000000000e+01,7.922000000000000000e+03
2.000000000000001776e+00,1.600000000000000000e+02,7.340000000000000568e+01,8.922000000000000000e+03
2.000000000000001776e+00,1.700000000000000000e+02,7.859999999999999432e+01,9.922000000000000000e+03
